	WORD	CEFR
1411	cleverly	b2
1412	cleverness	c1
1413	cliché	c1
1414	click	a1
1415	client	b2
1416	clientele	c1
1417	cliff	b1
1418	climate	c1
1419	climatic	c1
1420	climatologist	b2
1421	climb	b2
1422	climber	b2
1423	climbing	b2
1424	clinic	c1
1425	clinical	b2
1426	clip	c1
1427	clique	c1
1428	cloakroom	b2
1429	clock	a2
1430	clone	b2
1431	close	a2
1432	closed	b2
1433	closely	b2
1434	closeness	c1
1435	closet	a1
1436	closing	b2
1437	cloth	c1
1438	clothe	c1
1439	clothes	b1
1440	clothing	b2
1441	cloud	c1
1442	cloudless	c1
1443	cloudy	b2
1444	clove	b1
1445	clown	a2
1446	club	b1
1447	clubber	b1
1448	clue	b2
1449	clunky	b1
1450	clutch	b1
1451	clutter	b1
1452	cluttered	b1
1453	cm	b1
1454	coach	b1
1455	coal	c1
1456	coast	b1
1457	coastal	c1
1458	coat	b2
1459	coax	c1
1460	cobble	a2
1461	cobweb	b1
1462	coca	b2
1463	cocaine	b2
1464	cocker	a2
1465	cocktail	b1
1466	cocoa	b2
1467	code	c1
1468	coffee	a1
1469	coffeepot	c1
1470	coffin	a2
1471	cohesion	b2
1472	coin	b1
1473	coinage	c1
1474	coincidence	b1
1475	coke	b1
1476	cola	a2
1477	cold	a1
1478	coldly	c1
1479	coldness	c1
1480	collaborate	b2
1481	collaboration	c1
1482	collage	b1
1483	collapse	c1
1484	collar	c1
1485	colleague	b1
1486	collect	b1
1487	collectable	b1
1488	collection	b1
1489	collective	c1
1490	collector	b1
1491	college	b1
1492	collie	b2
1493	collocation	a2
1494	colon	a1
1495	colonel	c1
1496	colonial	b2
1497	colonisation	c1
1498	colonist	c1
1499	colony	c1
1500	color	b1
1501	colored	b2
1502	colorful	a1
1503	colour	a1
1504	coloured	b1
1505	colourful	c1
1506	colouring	b2
1507	colourless	c1
1508	column	b1
1509	coma	b2
1510	comb	c1
1511	combat	c1
1512	combination	c1
1513	combine	b1
1514	come	a1
1515	comedian	c1
1516	comedy	b1
1517	comer	a2
1518	comet	c1
1519	comfort	c1
1520	comfortable	b1
1521	comfortably	c1
1522	comforting	c1
